Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
1,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
2,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
3,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
4,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
5,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
6,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
7,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
8,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
9,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
10,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
11,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
12,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
13,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
14,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
15,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
16,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
17,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
18,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
19,140,140,0,84,100,5.0,0,0.0,0,0.0,0,0,0,0
