Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
1,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
2,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
3,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
4,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
5,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
6,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
7,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
8,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
10,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
11,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
12,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
13,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
14,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
15,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
16,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
17,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
18,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
19,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
20,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
21,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
22,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
23,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
24,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
25,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
26,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
27,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
28,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
29,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
30,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
31,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
32,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
33,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
34,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
35,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
37,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
38,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
39,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
40,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
41,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
42,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
43,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
44,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
45,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
46,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
47,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
48,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
49,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
50,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
51,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
52,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
53,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
54,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
55,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
56,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
57,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
58,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
59,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
60,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
61,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
62,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
63,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
64,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
65,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
66,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
67,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
68,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
69,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
70,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
71,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
72,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
73,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
76,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
77,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
78,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
80,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
81,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
82,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
83,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
84,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
85,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
86,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
87,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
88,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
89,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
90,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
91,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
92,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
93,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
94,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
95,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
96,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
97,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
98,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
99,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
100,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
101,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
102,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
103,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
104,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
105,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
106,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
107,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
108,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
109,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
110,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
111,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
112,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
113,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
114,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
115,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
116,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
117,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
118,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
119,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
120,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
121,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
122,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
123,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
125,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
126,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
127,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
128,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
129,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
130,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
131,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
132,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
133,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
134,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
135,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
136,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
137,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
138,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
139,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
140,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
141,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
142,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
143,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
144,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
145,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
146,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
147,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
148,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
149,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
151,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
152,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
153,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
154,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
155,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
156,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
157,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
158,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
159,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
160,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
161,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
162,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
163,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
164,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
165,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
166,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
167,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
168,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
169,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
170,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
171,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
172,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
173,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
174,2,16,0,70,100,5.0,0,0.0,0,0.0,0,0,0,0
