Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,0,14,0,90,100,5,18,4.14,0,0,0,0,0,22
1,0,12,0,90,100,5,74,4.27,0,0,0,0,0,74
2,0,10,0,90,100,5,23,3.18,0,0,0,0.47,20,31
3,0,8,0,90,100,5,18,3.07,0,0,0,0.16,14,29
4,0,6,0,90,100,5,45,4.9,0,0,0,0,0,80
5,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
6,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
7,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
8,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
9,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
10,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
11,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
12,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
13,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
14,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
15,0,4,0,90,100,5,113,3.97,0,0,0,3.77,34,162
