Exp_Ind,Loc_x,Loc_y,Loc_z,TxPower,sessRate,runTime,l2Ack,l2Time,l4Ack,l4Time,rtDelay,l2TxQueue,l4TxQueue,l2Sent
0,6,0,0,80,100,5,23,4.93,19,4.95,0.06,4.16,25.07,491
1,6,0,0,78,100,5,75,4.93,74,4.91,0.07,3.76,25.48,495
2,6,0,0,78,100,5,32,4.19,23,4.19,0.26,2.15,28.37,493
3,6,0,0,78,100,5,30,4.09,18,4.08,0.29,5.62,29.74,490
4,6,0,0,78,100,5,80,4.94,45,4.95,0.05,2.73,24.75,496
5,6,0,0,78,100,5,163,4.99,113,5,0.26,1.6,22.32,498
6,6,0,0,78,100,5,150,4.94,102,4.95,0.04,1.52,23.22,500
7,6,0,0,78,100,5,172,4.92,124,4.81,0.04,1.22,24.11,500
8,6,0,0,78,100,5,256,4.91,173,4.79,0.03,0.92,22.46,500
9,6,0,0,78,100,5,182,4.91,106,4.9,0.03,0.82,23.89,500
10,6,0,0,78,100,5,143,4.9,76,4.73,0.04,1.23,24.84,500
11,6,0,0,78,100,5,111,4.82,45,4.83,0.03,1.04,24.53,499
12,6,0,0,78,100,5,163,4.99,140,4.99,0.05,2.51,22.95,500
13,6,0,0,78,100,5,147,5,143,5,0.1,4.1,22.2,497
14,6,0,0,78,100,5,91,5,64,5,0.04,0.7,24.7,500
15,6,0,0,78,100,5,77,4.91,70,4.91,0.04,1.12,25.14,500
